"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Health care","usa","Man","White","25-34","Master's degree","11-20","10-",50,30,"Young",15,5,4,"High","White","Not Woman","USA","Woman"
"Nonprofits","usa","Woman","White","25-34","College degree","10-","10-",58,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",159,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Some college","10-","10-",45,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",185,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","45-54","College degree","11-20","11-20",95,50,"Old",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",70,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","Some college","11-20","10-",65,40,"Middle",15,5,2,"Low","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Professional degree","11-20","11-20",108,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","College degree","11-20","11-20",54,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Not Woman"
"Media & Digital","usa","Woman","White","45-54","College degree","31+","21-30",86,50,"Old",35,25,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",73,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Man","Asian ","35-44","College degree","11-20","11-20",69,40,"Middle",15,15,3,"Medium","Not White","Not Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","College degree","21-30","21-30",93,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","55+","Some college","21-30","10-",32.562,60,"Old",25,5,2,"Low","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","35-44","College degree","11-20","10-",47,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","35-44","College degree","10-","10-",86.18,40,"Middle",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Insurance","usa","Woman","Black","25-34","College degree","10-","10-",93.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","45-54","College degree","21-30","21-30",200,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Not Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",72,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",36,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","canada","Woman","White","35-44","Master's degree","11-20","11-20",108,40,"Middle",15,15,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","canada","Woman","White","25-34","Master's degree","10-","10-",67.9072,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",88.6,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",113,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","55+","College degree","31+","21-30",49.2,60,"Old",35,25,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","Asian ","25-34","College degree","11-20","11-20",64,30,"Young",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Entertainment","usa","Woman","White","25-34","College degree","10-","10-",36.4,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Retail","usa","Woman","White","35-44","Some college","11-20","11-20",37.2,40,"Middle",15,15,2,"Low","White","Woman","USA","Not Woman"
"Business or Consulting","canada","Woman","White","25-34","Professional degree","10-","10-",65.6,30,"Young",5,5,6,"High","White","Woman","Not USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",64,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Education","uk","Woman","White","25-34","College degree","10-","10-",39.38009,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Hispanic","25-34","College degree","10-","10-",50,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Retail","usa","Man","White","25-34","College degree","10-","10-",61.869,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",59.5,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","55+","Master's degree","31+","31+",41,60,"Old",35,35,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","25-34","Master's degree","10-","10-",170,30,"Young",5,5,4,"High","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","21-30","10-",61.4,40,"Middle",25,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","PhD","11-20","11-20",65,50,"Old",15,15,5,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","10-","10-",131,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","11-20",75,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Other","Other","35-44","High School","11-20","10-",56,40,"Middle",15,5,1,"Low","Not White","Not Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Master's degree","11-20","11-20",142.549,30,"Young",15,15,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","PhD","10-","10-",120,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",75.9,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Media & Digital","uk","Woman","White","25-34","College degree","10-","10-",47.26,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Some college","21-30","11-20",95,40,"Middle",25,15,2,"Low","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",88,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Professional degree","10-","10-",135,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","45-54","College degree","21-30","11-20",40,50,"Old",25,15,3,"Medium","White","Woman","USA","Woman"
"Education","canada","Other","Other","35-44","College degree","11-20","11-20",52,40,"Middle",15,15,3,"Medium","Not White","Not Woman","Not USA","Woman"
"Business or Consulting","usa","Man","White","35-44","Master's degree","11-20","11-20",92,40,"Middle",15,15,4,"High","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",380,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","College degree","10-","10-",70,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",40,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",172,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","uk","Woman","White","35-44","Professional degree","11-20","11-20",437.85,40,"Middle",15,15,6,"High","White","Woman","Not USA","Woman"
"Health care","usa","Woman","White","35-44","Master's degree","11-20","10-",91.5,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","Black","25-34","Master's degree","11-20","10-",111.5,30,"Young",15,5,4,"High","Not White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","College degree","21-30","21-30",69,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",55,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","PhD","10-","10-",105,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","College degree","11-20","11-20",218,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","11-20","10-",63,30,"Young",15,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","45-54","Some college","21-30","10-",63.5,50,"Old",25,5,2,"Low","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",72,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","45-54","Professional degree","21-30","21-30",187,50,"Old",25,25,6,"High","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","45-54","Some college","10-","10-",37.4,50,"Old",5,5,2,"Low","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","10-","10-",66,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","PhD","10-","10-",80,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","PhD","10-","10-",130,30,"Young",5,5,5,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",91,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Other","Other","35-44","PhD","10-","10-",88.01,40,"Middle",5,5,5,"High","Not White","Not Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",48,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","Master's degree","11-20","11-20",185,40,"Middle",15,15,4,"High","Not White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","Other","25-34","College degree","10-","10-",72,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",175,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",46.04,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Man","White","45-54","College degree","21-30","21-30",120,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Health care","uk","Woman","White","35-44","PhD","10-","10-",44.48,40,"Middle",5,5,5,"High","White","Woman","Not USA","Woman"
"Health care","usa","Woman","White","35-44","Some college","21-30","11-20",41.35,40,"Middle",25,15,2,"Low","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","College degree","11-20","10-",132,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",49.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Social Work","uk","Man","White","35-44","High School","11-20","11-20",194.6,40,"Middle",15,15,1,"Low","White","Not Woman","Not USA","Woman"
"Computing or Tech","uk","Man","White","35-44","Master's degree","11-20","11-20",111.2,40,"Middle",15,15,4,"High","White","Not Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","35-44","PhD","11-20","11-20",53,40,"Middle",15,15,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",41.6,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Professional degree","11-20","11-20",111,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","College degree","21-30","21-30",115,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Social Work","uk","Woman","White","45-54","High School","21-30","21-30",63.94,50,"Old",25,25,1,"Low","White","Woman","Not USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",47,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Professional degree","10-","10-",103,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","Master's degree","11-20","10-",113,40,"Middle",15,5,4,"High","Not White","Woman","USA","Not Woman"
"Law","usa","Woman","Asian ","25-34","Professional degree","10-","10-",332,30,"Young",5,5,6,"High","Not White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","White","55+","College degree","31+","31+",120,60,"Old",35,35,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",94,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Libraries and Museums","canada","Woman","White","55+","Master's degree","21-30","21-30",60.8,60,"Old",25,25,4,"High","White","Woman","Not USA","Woman"
"Social Work","canada","Woman","White","25-34","College degree","10-","10-",48,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",85,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",58,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","Hispanic","25-34","College degree","10-","10-",76.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",100.44,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","10-",46,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","45-54","Master's degree","21-30","21-30",285.3,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","25-34","College degree","10-","10-",54.2,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",53.6,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","45-54","College degree","21-30","11-20",67.36,50,"Old",25,15,3,"Medium","White","Woman","USA","Woman"
